Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa00512:Mucin type O-Glycan biosynthesis	5	0.01073191672032625	0.002236141612365666	GALNT14, GALNT2, GCNT3, ST3GAL1, B4GALT5	126	31	6879	8.80568356374808	0.35517384138728325	0.43828375602367053	0.43828375602367053
UP_KEYWORDS	Glycosyltransferase	12	0.025756600128783003	0.0025945747922747125	UGT2B10, GALNT14, UGT2B11, TNKS, GALNT2, GBE1, GCNT3, ST3GAL6, UGGT2, ST3GAL1, PIGH, B4GALT5	353	236	20581	2.9645652278292607	0.5701558697645464	0.8432368074892815	0.8432368074892815
UP_KEYWORDS	Disulfide bond	78	0.1674179008370895	0.006440707039919557	OR4E2, GALNT14, PGLYRP3, PTPRS, TFRC, FAM69C, HHIP, PTPRN, HTR2C, ANTXR2, GRPR, CELSR3, SLC4A5, MYLK, STS, ADAMTSL5, OPN1LW, GRM6, CDH1, GNRHR, VN1R17P, CSTL1, VSIG8, MYBPC3, SFTPC, CST9LP1, TNFRSF19, WNT9B, TACR1, PRLR, ADRA2A, MMP11, CRISPLD2, IGHD, OR52A1, OR4C5, OR13C2, B4GALT5, AMIGO3, UHRF2, CDNF, MYCBP2, FPR1, PCDH15, OR9Q1, HPR, DEFB107A, NID2, ACAN, OR1Q1, ADAM29, PRRG1, IGKV3-15, GCNT3, OR8B2, OR6B2, ST3GAL1, GPHA2, TRGC2, JAM2, MGAM, GSN, GALNT2, IGF2, OR1L3, OR5P2, LYZ, GDF7, NELL1, SLCO3A1, PRPH2, ARTN, PTK7, QPCT, CDK2AP1, PPT2, CHCHD2P9, CLEC2D	353	3434	20581	1.3242990854659535	0.8775435488121014	1.0	1.0
KEGG_PATHWAY	hsa04622:RIG-I-like receptor signaling pathway	6	0.012878300064391501	0.008629809179144105	MAPK10, NLRX1, CHUK, MAP3K7, TANK, NFKBIB	126	70	6879	4.679591836734694	0.8170940651456935	0.8457212995561223	0.8457212995561223
GOTERM_BP_DIRECT	GO:0003281~ventricular septum development	4	0.008585533376261001	0.013412282697454299	PTK7, MDM2, GATA4, STRA6	302	28	16792	7.943235572374645	0.9999999980954501	1.0	1.0
GOTERM_BP_DIRECT	GO:0018146~keratan sulfate biosynthetic process	4	0.008585533376261001	0.013412282697454299	ACAN, ST3GAL6, ST3GAL1, B4GALT5	302	28	16792	7.943235572374645	0.9999999980954501	1.0	1.0
UP_KEYWORDS	Transmembrane helix	116	0.248980467911569	0.015482053559395826	GALNT14, TFRC, AQP7, MLC1, SLC4A3, GRPR, ANTXR2, BEST3, CELSR3, SLC4A5, BEST4, STS, CDH1, VN1R17P, TMEM14C, VSIG8, UGT2B10, SLC15A2, UGT2B11, DIO1, ACSL6, TAP2, PRLR, FAM173B, TSNARE1, HRASLS, OR13C2, LINC00521, SIDT2, GYPB, FPR1, PCDH15, OR9Q1, OR1Q1, TMEM125, NKAIN3, TMEM128, ARSH, ST3GAL6, OR6B2, ST3GAL1, C16ORF52, TRGC2, FDFT1, STRA6, VTI1B, TMEM184A, HHATL, MGAM, CYP4F2, TVP23A, OR5P2, TMEM231, GJB1, PRPH2, PTK7, ZNF138, PPT2, CNIH3, OR4E2, PTPRS, FAM69C, PTPRN, PDE3B, MS4A7, HTR2C, LRRC3, ATP5G1, OPN1LW, GRM6, GNRHR, SLC22A10, SUN2, TMCO5B, SFTPC, TNFRSF19, TACR1, UTP18, ADRA2A, LAT2, CYP26C1, VN1R1, IGHD, SLC25A10, OR52A1, OR4C5, B4GALT5, PIGH, AMIGO3, KCNA4, PBXIP1, ADAM29, CLMN, UCP3, PRRG1, CDRT15L2, TM4SF20, GCNT3, S1PR3, OR8B2, CDIPT, SLC36A4, JAM2, GALNT2, TMEM176B, CMTM6, YIPF5, LHFPL3, OR1L3, PDZK1IP1, CLCN6, SLCO3A1, SCD, FAM171B, PPIL3, CLEC2D	353	5634	20581	1.20041914680295	0.9937240124365961	1.0	1.0
UP_KEYWORDS	Transmembrane	116	0.248980467911569	0.016926610584725263	GALNT14, TFRC, AQP7, MLC1, SLC4A3, GRPR, ANTXR2, BEST3, CELSR3, SLC4A5, BEST4, STS, CDH1, VN1R17P, TMEM14C, VSIG8, UGT2B10, SLC15A2, UGT2B11, DIO1, ACSL6, TAP2, PRLR, FAM173B, TSNARE1, HRASLS, OR13C2, LINC00521, SIDT2, GYPB, FPR1, PCDH15, OR9Q1, OR1Q1, TMEM125, NKAIN3, TMEM128, ARSH, ST3GAL6, OR6B2, ST3GAL1, C16ORF52, TRGC2, FDFT1, STRA6, VTI1B, TMEM184A, HHATL, MGAM, CYP4F2, TVP23A, OR5P2, TMEM231, GJB1, PRPH2, PTK7, ZNF138, PPT2, CNIH3, OR4E2, PTPRS, FAM69C, PTPRN, PDE3B, MS4A7, HTR2C, LRRC3, ATP5G1, OPN1LW, GRM6, GNRHR, SLC22A10, SUN2, TMCO5B, SFTPC, TNFRSF19, TACR1, UTP18, ADRA2A, LAT2, CYP26C1, VN1R1, IGHD, SLC25A10, OR52A1, OR4C5, B4GALT5, PIGH, AMIGO3, KCNA4, PBXIP1, ADAM29, CLMN, UCP3, PRRG1, CDRT15L2, TM4SF20, GCNT3, S1PR3, OR8B2, CDIPT, SLC36A4, JAM2, GALNT2, TMEM176B, CMTM6, YIPF5, LHFPL3, OR1L3, PDZK1IP1, CLCN6, SLCO3A1, SCD, FAM171B, PPIL3, CLEC2D	353	5651	20581	1.1968079053420315	0.996105688881327	1.0	1.0
KEGG_PATHWAY	hsa04621:NOD-like receptor signaling pathway	5	0.01073191672032625	0.018443970834273817	MAPK10, CHUK, NOD2, MAP3K7, NFKBIB	126	56	6879	4.874574829931972	0.9739769242004757	1.0	1.0
UP_KEYWORDS	Fatty acid metabolism	7	0.015024683408456752	0.01991177347130764	HPGDS, ACAA2, ACSM3, SCD, ECI1, ACSL6, AACS	353	124	20581	3.2913049437996893	0.9985506243440441	1.0	1.0
GOTERM_BP_DIRECT	GO:0016266~O-glycan processing	5	0.01073191672032625	0.02250961577766861	GALNT14, GALNT2, GCNT3, ST3GAL1, B4GALT5	302	60	16792	4.63355408388521	0.999999999999998	1.0	1.0
UP_KEYWORDS	Transferase	41	0.08800171710667526	0.0263389787744888	CERKL, GALNT14, GOT1L1, ACAA2, TNKS, GBE1, PNKP, PRDM6, CHAT, WNK4, STK19, PAPSS2, CKS1B, MYLK, THG1L, EPS8, HPGDS, PACSIN2, GCNT3, ST3GAL6, WHSC1, UGGT2, CDIPT, ST3GAL1, MAP3K7, FDFT1, POLG, UGT2B10, UGT2B11, RIPK3, CHUK, GALNT2, ICK, MAPK10, NELL1, SBK1, QPCT, RPS6KB2, HRASLS, PIGH, B4GALT5	353	1708	20581	1.3995478700466395	0.9998291834879369	1.0	1.0
