Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0001523~retinoid metabolic process	8	0.018757766887852	5.999854131473605E-5	APOM, AKR1B10, SDC4, RHO, APOA1, LRP2, AGRN, GPC6	276	61	16792	7.979092421002613	0.08453257979935336	0.08831785281529146	0.08831785281529146
KEGG_PATHWAY	hsa04512:ECM-receptor interaction	7	0.0164130460268705	0.0016688958226569622	COL2A1, RELN, SDC4, LAMB2, ITGA2, AGRN, CD44	102	87	6879	5.426301555104801	0.2707107186982225	0.3154213104821659	0.3154213104821659
GOTERM_BP_DIRECT	GO:0030326~embryonic limb morphogenesis	5	0.0117236043049075	0.004046515209936147	TGFB2, MBNL1, CYP26B1, LEF1, SP8	276	40	16792	7.605072463768116	0.9974420636862025	1.0	1.0
GOTERM_BP_DIRECT	GO:0006629~lipid metabolic process	9	0.021102487748833502	0.004382046918887269	WNT10B, IL1RN, PNPLA8, TTPA, LRP2, TECRL, CLU, PAFAH1B3, PLA1A	276	157	16792	3.487676543893658	0.9984423038977586	1.0	1.0
GOTERM_CC_DIRECT	GO:0034366~spherical high-density lipoprotein particle	3	0.0070341625829445	0.007037337268260899	APOM, APOA1, CLU	300	8	18224	22.78	0.8763643036421711	1.0	1.0
INTERPRO	IPR016024:Armadillo-type fold	13	0.030481371192759503	0.013181503876042772	ARFGEF1, MEI1, GBF1, UBR4, URB1, NOC2L, FMNL3, PACRGL, IPO9, AP1G2, HEATR5B, TELO2, EIF4G1	304	351	18559	2.2610867446393765	0.9998385154901693	1.0	1.0
GOTERM_BP_DIRECT	GO:0042100~B cell proliferation	4	0.009378883443926	0.015179216446637556	IFNA2, LEF1, IL7R, SHB	276	32	16792	7.605072463768116	0.9999999998333496	1.0	1.0
GOTERM_BP_DIRECT	GO:2000060~positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process	3	0.0070341625829445	0.02438126627529461	AXIN1, CLU, FBXO22	276	15	16792	12.168115942028985	0.9999999999999999	1.0	1.0
GOTERM_CC_DIRECT	GO:0005623~cell	6	0.014068325165889	0.02448879232640707	HK3, AIFM3, CCL7, MEI1, FTH1, CCL15	300	100	18224	3.6448000000000005	0.9993502445059192	1.0	1.0
GOTERM_BP_DIRECT	GO:0008219~cell death	4	0.009378883443926	0.025731810609890066	TGFB2, PNPLA8, AXIN1, CLU	276	39	16792	6.240059457450762	1.0	1.0	1.0
UP_KEYWORDS	Heparan sulfate	3	0.0070341625829445	0.025927514752026502	SDC4, AGRN, GPC6	327	16	20581	11.801032110091745	0.9997765356220931	1.0	1.0
GOTERM_BP_DIRECT	GO:0043488~regulation of mRNA stability	6	0.014068325165889	0.02716319417699602	ZFP36, FMR1, PSMD3, RBM24, PSMA7, EIF4G1	276	103	16792	3.544111439425918	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0017091~AU-rich element binding	3	0.0070341625829445	0.03020286599877877	TIA1, ZFP36, HNRNPA0	274	17	16881	10.872262773722628	0.9999997447041922	1.0	1.0
UP_SEQ_FEATURE	compositionally biased region:Ala/Gln-rich	2	0.004689441721963	0.031155349831970804	TCERG1, DR1	316	2	20063	63.49050632911393	0.9999999999999977	1.0	1.0
GOTERM_BP_DIRECT	GO:2001037~positive regulation of tongue muscle cell differentiation	2	0.004689441721963	0.03248645050928834	TBX1, CYP26B1	276	2	16792	60.84057971014493	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0034365~discoidal high-density lipoprotein particle	2	0.004689441721963	0.03254556984272186	APOM, APOA1	300	2	18224	60.74666666666667	0.9999442001243364	1.0	1.0
GOTERM_BP_DIRECT	GO:0043691~reverse cholesterol transport	3	0.0070341625829445	0.03440546146704411	APOM, APOA1, CLU	276	18	16792	10.140096618357488	1.0	1.0	1.0
UP_KEYWORDS	Iron	11	0.0257919294707965	0.03453623522869699	KDM6B, AIFM3, ALKBH5, CYP26B1, KDM3B, FTH1, CYB561A3, DNA2, ALKBH7, POLE, CYP17A1	327	324	20581	2.13681239853513	0.9999869529239431	1.0	1.0
GOTERM_BP_DIRECT	GO:0050852~T cell receptor signaling pathway	7	0.0164130460268705	0.035122701709030146	HLA-DRB5, THEMIS2, INPP5D, PSMD3, SHB, LAT, PSMA7	276	148	16792	2.8775949862906387	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0019905~syntaxin binding	5	0.0117236043049075	0.03613650969554899	NAPA, SYT4, TXLNA, SYT12, C2CD4C	274	77	16881	4.0006161721490185	0.9999999877626486	1.0	1.0
UP_KEYWORDS	Secreted	42	0.09847827616122301	0.04175579108273097	IL1RN, SDC4, HILPDA, IFNA2, ITLN2, IFI30, ORM2, CLU, LYZL4, C5, APOM, RELN, CCL7, FAM172A, TIMP2, OTOG, IL12A, LIPK, TPSAB1, GPC6, CCL15, TUB, SFTPB, CGREF1, WNT10B, TGFB2, LAMB2, RNLS, IGKV1-5, APOA1, LIFR, GFRA4, MFAP5, CORT, COL2A1, IGLV1-51, AKR1B10, MMP17, LALBA, AGRN, IL7R, PLA1A	327	1965	20581	1.345257604407405	0.9999988186323946	1.0	1.0
